train,test,norm,pos,quat
0.13421561,0.12929979,0.002837978,0.867265,0.052450344
0.13290434,0.13021088,0.0028075397,0.85708266,0.052128118
0.13106455,0.121188,0.0027778957,0.84202117,0.051760722
0.13015606,0.12641533,0.0027512447,0.8356962,0.05145701
0.1299345,0.10729971,0.0027207276,0.83637154,0.051139206
0.12836331,0.16040067,0.002701979,0.82323617,0.050854992
0.12777857,0.11557121,0.002674908,0.82008445,0.05055849
0.1266985,0.15421784,0.0026488253,0.81169885,0.050293032
0.12622088,0.086001016,0.0026306103,0.8097946,0.049975947
0.12502387,0.12291158,0.0026081433,0.8000635,0.049729686
0.12476324,0.11341467,0.0025877382,0.7998276,0.04946858
0.12292804,0.106057756,0.0025708904,0.7839566,0.04919477
0.123047315,0.14155516,0.0025462583,0.78729284,0.048959333
0.12209027,0.117603205,0.0025306186,0.7803227,0.048672155
0.121273816,0.11947855,0.002516972,0.7741702,0.0484501
0.12104751,0.104752965,0.002491506,0.77408046,0.048211463
0.12003076,0.12284064,0.0024779763,0.7658026,0.048002988
0.11959431,0.113349564,0.0024625566,0.76343435,0.04778293
0.118576586,0.08068901,0.0024372633,0.75567126,0.04751749
0.11828464,0.12988718,0.0024275447,0.7545816,0.047315255
0.117767915,0.0946782,0.0024146931,0.75080293,0.047162388
0.1175027,0.13201208,0.0023963654,0.7502866,0.04692711
0.11674837,0.11098188,0.0023804458,0.7446912,0.04671247
0.116092965,0.09276855,0.0023673347,0.7400472,0.04650167
0.11476225,0.106344,0.0023528887,0.72859025,0.0462977
0.11496946,0.10134733,0.0023410653,0.7323723,0.046109024
0.11497723,0.12169141,0.002327192,0.7337184,0.045969646
0.11378862,0.07323835,0.0023119636,0.7238478,0.045747377
0.11415617,0.12676215,0.0023054231,0.72862697,0.045625485
0.11321867,0.10376407,0.002284561,0.7212092,0.045410324
0.112895206,0.08289022,0.0022731326,0.71992534,0.04519484
0.111737855,0.09560788,0.002259681,0.7097869,0.045036893
0.11130983,0.10389354,0.002249279,0.7070048,0.044871572
0.110978894,0.06040949,0.0022319632,0.70538026,0.04468631
0.1106607,0.07431704,0.002222502,0.70401126,0.044485915
0.110042244,0.13236344,0.0022060676,0.6987397,0.0443863
0.10982393,0.11920179,0.0021933361,0.6980674,0.04421982
0.10947557,0.08634498,0.0021842117,0.69624114,0.0440367
0.109491184,0.08473671,0.002170204,0.69772977,0.043890208
0.10790201,0.10916128,0.0021639538,0.68336976,0.043720704
0.10840043,0.11303597,0.0021498816,0.6895483,0.043589573
0.10777597,0.08210352,0.0021383795,0.68485534,0.04341844
0.106819645,0.12575662,0.002125285,0.67643064,0.043293387
0.088310346,0.084434085,0.0021095304,0.49840888,0.042509444
0.087118655,0.09947807,0.0020993745,0.4874346,0.042405847
0.08718386,0.06487924,0.002090479,0.4888988,0.042316597
0.08721723,0.07343743,0.0020820876,0.48984802,0.042249136
0.08726898,0.08148337,0.002071984,0.49087372,0.042193778
